TargetCompanyKvk;Value;SchemeDescription;Dataset;Scheme;StartTimestamp;EndTimestamp;ActiveTimestamp;InactiveTimestamp;Trustlevel
64642429;101225;;Commercial;custom;;;30-7-2020 14:11;;2
64596893;101275;;Commercial;custom;;;30-7-2020 14:11;;2
63367866;101069;;Commercial;custom;;;30-7-2020 14:11;;2
62485474;101580;;Commercial;custom;;;30-7-2020 14:11;;2
62289888;101352;;Commercial;custom;;;30-7-2020 14:11;;2
60328517;101437;;Commercial;custom;;;30-7-2020 14:11;;2
60309350;101156;;Commercial;custom;;;30-7-2020 14:11;;2
60110554;101269;;Commercial;custom;;;30-7-2020 14:11;;2
58802258;104416;;Commercial;custom;;;30-7-2020 14:11;;2
58581634;101362;;Commercial;custom;;;30-7-2020 14:11;;2
58316051;111793;;Commercial;custom;;;30-7-2020 14:11;;2
58287965;101456;;Commercial;custom;;;30-7-2020 14:11;;2
58272968;103120;;Commercial;custom;;;30-7-2020 14:11;;2
58250131;101264;;Commercial;custom;;;30-7-2020 14:11;;2
58161651;101341;;Commercial;custom;;;30-7-2020 14:11;;2
58027459;101531;;Commercial;custom;;;30-7-2020 14:11;;2
57972559;101212;;Commercial;custom;;;30-7-2020 14:11;;2
57957312;101222;;Commercial;custom;;;30-7-2020 14:11;;2
57665346;101287;;Commercial;custom;;;30-7-2020 14:11;;2
57095795;101043;;Commercial;custom;;;30-7-2020 14:11;;2
56566808;101011;;Commercial;custom;;;30-7-2020 14:11;;2
60039604;101453;;Commercial;custom;;;30-7-2020 14:11;;2
59928735;101211;;Commercial;custom;;;30-7-2020 14:11;;2
59506873;101637;;Commercial;custom;;;30-7-2020 14:11;;2
59392002;101014;;Commercial;custom;;;30-7-2020 14:11;;2
88469697;103145;Klantnummer;Commercial;custom;;;7-7-2023 10:01;;2
57594333;111748;Klantnummer Vitelia;Commercial;custom;;;15-11-2022 12:40;;2
17248196;101415;;Commercial;custom;;;30-7-2020 14:11;;2
17247372;103366;;Commercial;custom;;;30-7-2020 14:11;;2
17246980;101293;;Commercial;custom;;;30-7-2020 14:11;;2
17215051;101027;;Commercial;custom;;;30-7-2020 14:11;;2
17270393;101339;;Commercial;custom;;;30-7-2020 14:11;;2
17211490;101326;;Commercial;custom;;;30-7-2020 14:11;;2
17207229;101001;;Commercial;custom;;;30-7-2020 14:11;;2
17157507;101659;;Commercial;custom;;;30-7-2020 14:11;;2
17152801;112228;;Commercial;custom;;;30-7-2020 14:11;;2
17142044;101108;;Commercial;custom;;;30-7-2020 14:11;;2
17139105;101274;;Commercial;custom;;;30-7-2020 14:11;;2
17137952;101106;;Commercial;custom;;;30-7-2020 14:11;;2
17162005;101177;;Commercial;custom;;;30-7-2020 14:11;;2
17129041;101263;;Commercial;custom;;;30-7-2020 14:11;;2
17107775;101312;;Commercial;custom;;;30-7-2020 14:11;;2
17099507;101324;;Commercial;custom;;;30-7-2020 14:11;;2
17095200;101020;;Commercial;custom;;;30-7-2020 14:11;;2
17093756;101167;;Commercial;custom;;;30-7-2020 14:11;;2
17091203;101255;;Commercial;custom;;;30-7-2020 14:11;;2
17080238;103116;;Commercial;custom;;;30-7-2020 14:11;;2
17121046;101300;;Commercial;custom;;;30-7-2020 14:11;;2
17165806;101057;;Commercial;custom;;;30-7-2020 14:11;;2
17168296;101072;;Commercial;custom;;;30-7-2020 14:11;;2
17171491;111814;;Commercial;custom;;;30-7-2020 14:11;;2
17275624;101394;;Commercial;custom;;;30-7-2020 14:11;;2
17077847;101013;;Commercial;custom;;;30-7-2020 14:11;;2
